"labid.y","speciesid_osu","speciessimpleidgroomed.y","species","genus","family","order","class","phylum","reps","numreads","totalreads","pidmatch","lineage","scatseason"
"YOS0002","Martes caurina","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",2,421,421,100,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0003","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",12,96840,24210,99,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0003","Canis latrans","Urocitellus beldingi","Urocitellus beldingi","Urocitellus","Sciuridae","Rodentia","Mammalia","Chordata",3,24210,24210,100,"Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi","summer"
"YOS0004","Canis latrans","Martes caurina","Martes caurina","Martes","Mustelidae","Carnivora","Mammalia","Chordata",3,36266,36266,100,"Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes caurina","summer"
"YOS0004","Canis latrans","Microtus montanus","Microtus montanus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,36266,36266,98.99,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus montanus","summer"
"YOS0004","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",3,36266,36266,99,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0004","Canis latrans","Salvelinus sp.","","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Chordata",3,36266,36266,100,"Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,","summer"
"YOS0006","Canis latrans","Erethizon dorsatum","Erethizon dorsatum","Erethizon","Erethizontidae","Rodentia","Mammalia","Chordata",3,1423,1423,100,"Chordata,Mammalia,Rodentia,Erethizontidae,Erethizon,Erethizon dorsatum","summer"
"YOS0007","Canis latrans","Gallus gallus","Gallus gallus","Gallus","Phaisianidae","Galliformes","Aves","Chordata",3,1795,1795,100,"Chordata,Aves,Galliformes,Phaisianidae,Gallus,Gallus gallus","summer"
"YOS0007","Canis latrans","Sus scrofa","Sus scrofa","Sus","Suidae","Artiodactyla","Mammalia","Chordata",3,1795,1795,100,"Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa","summer"
"YOS0008","Canis latrans","Neogale vison","Neogale vison","Neogale","Mustelidae","Carnivora","Mammalia","Chordata",3,87046,87046,100,"Chordata,Mammalia,Carnivora,Mustelidae,Neogale,Neogale vison","summer"
"YOS0010","Canis latrans","Anatidae","","","Anatidae","Anseriformes","Aves","Chordata",3,115493,115493,100,"Chordata,Aves,Anseriformes,Anatidae","summer"
"YOS0020","Puma concolor","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",12,125704,31426,98.495,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0021","Martes caurina","Myadestes townsendi","Myadestes townsendi","Myadestes","Turdidae","Passeriformes","Aves","Chordata",3,7918,7918,100,"Chordata,Aves,Passeriformes,Turdidae,Myadestes,Myadestes townsendi","summer"
"YOS0022","Martes caurina","Oreortyx pictus","Oreortyx pictus","Oreortyx","Odontophoridae","Galliformes","Aves","Chordata",3,4099,4099,100,"Chordata,Aves,Galliformes,Odontophoridae,Oreortyx,Oreortyx pictus","summer"
"YOS0023","Martes caurina","Tamiasciurus douglasii","Tamiasciurus douglasii","Tamiasciurus","Sciuridae","Rodentia","Mammalia","Chordata",3,4884,4884,100,"Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,Tamiasciurus douglasii","summer"
"YOS0025","Martes caurina","Dendragapus fuliginosus","Dendragapus fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata",3,58308,58308,100,"Chordata,Aves,Galliformes,Phaisianidae,Dendragapus,Dendragapus fuliginosus","summer"
"YOS0026","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,29152,29152,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0026","Canis latrans","Microtus montanus","Microtus montanus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,29152,29152,97.98,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus montanus","summer"
"YOS0026","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",3,29152,29152,99,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0028","Canis latrans","Gallus gallus","Gallus gallus","Gallus","Phaisianidae","Galliformes","Aves","Chordata",3,139683,139683,100,"Chordata,Aves,Galliformes,Phaisianidae,Gallus,Gallus gallus","summer"
"YOS0028","Canis latrans","Salvelinus sp.","","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Chordata",3,139683,139683,100,"Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,","summer"
"YOS0029","Canis latrans","Urocitellus beldingi","Urocitellus beldingi","Urocitellus","Sciuridae","Rodentia","Mammalia","Chordata",9,93900,31300,99.3266666666667,"Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi","summer"
"YOS0030","Canis latrans","Lepus townsendii","Lepus townsendii","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,8153,8153,100,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus townsendii","summer"
"YOS0030","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,8153,8153,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0031","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",2,1537,1537,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0032","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,47993,47993,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0033","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",6,243224,121612,98.5,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0034","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",2,283,283,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0035","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,14182,14182,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0036","Canis latrans","Lepus townsendii","Lepus townsendii","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,23661,23661,100,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus townsendii","summer"
"YOS0036","Canis latrans","Urocitellus beldingi","Urocitellus beldingi","Urocitellus","Sciuridae","Rodentia","Mammalia","Chordata",3,23661,23661,100,"Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi","summer"
"YOS0037","Canis latrans","Lepus townsendii","Lepus townsendii","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,9754,9754,100,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus townsendii","summer"
"YOS0038","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",6,108594,54297,98.99,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0039","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",6,18034,9017,98.5,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0040","Canis latrans","Salvelinus sp.","","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Chordata",6,8252,4126,99.495,"Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,","summer"
"YOS0041","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",12,120372,30093,98.745,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0042","Canis latrans","Microtus montanus","Microtus montanus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",15,427385,85477,98.161,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus montanus","summer"
"YOS0043","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",6,108266,54133,99.495,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0044","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",6,153600,76800,98.5,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0045","Canis latrans","Lepus americanus","Lepus americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,6916,6916,95.876,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus americanus","summer"
"YOS0045","Canis latrans","Lepus townsendii","Lepus townsendii","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,6916,6916,100,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus townsendii","summer"
"YOS0046","Canis latrans","Lepus townsendii","Lepus townsendii","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,32391,32391,100,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus townsendii","summer"
"YOS0046","Canis latrans","Oncorhynchus sp.","","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata",3,32391,32391,100,"Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,","summer"
"YOS0047","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",3,24077,24077,99,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0048","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",3,9245,9245,99,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0049","Canis latrans","Cyanocitta stelleri","Cyanocitta stelleri","Cyanocitta","Corvidae","Passeriformes","Aves","Chordata",3,11199,11199,100,"Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta stelleri","summer"
"YOS0049","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,11199,11199,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0050","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,9992,9992,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0051","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",3,2260,2260,100,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0051","Canis latrans","Salvelinus sp.","","Salvelinus","Salmonidae","Salmoniformes","Actinopterygii","Chordata",3,2260,2260,100,"Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,","summer"
"YOS0052","Canis latrans","Microtus montanus","Microtus montanus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,1822,1822,98.99,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus montanus","summer"
"YOS0052","Canis latrans","Thomomys sp.","","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata",3,1822,1822,97.959,"Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,","summer"
"YOS0054","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",6,71976,35988,99.495,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0055","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,3542,3542,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0056","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",3,753,753,99,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0057","Canis latrans","Urocitellus beldingi","Urocitellus beldingi","Urocitellus","Sciuridae","Rodentia","Mammalia","Chordata",3,1199,1199,100,"Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus beldingi","summer"
"YOS0058","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,5628,5628,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0059","Vulpes vulpes","Microtus longicaudus","Microtus longicaudus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,8586,8586,100,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus longicaudus","summer"
"YOS0059","Vulpes vulpes","Ochotona princeps","Ochotona princeps","Ochotona","Ochotonidae","Lagomorpha","Mammalia","Chordata",6,17172,8586,99.495,"Chordata,Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona princeps","summer"
"YOS0060","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,86558,86558,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0062","Vulpes vulpes","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",3,2562,2562,99,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0063","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",2,3596,3596,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0064","Canis latrans","Oncorhynchus sp.","","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata",3,970,970,100,"Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,","summer"
"YOS0065","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",3,9202,9202,100,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0066","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,3277,3277,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0067","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,39674,39674,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0068","Vulpes vulpes","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",15,175620,35124,98.39,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0069","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",6,19196,9598,99.5,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0070","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",6,58850,29425,99.495,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0071","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,12537,12537,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0072","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",6,44200,22100,99.495,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0073","Canis latrans","Microtus longicaudus","Microtus longicaudus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,12144,12144,100,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus longicaudus","summer"
"YOS0073","Canis latrans","Microtus sp.","","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",6,24288,12144,96.48,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,","summer"
"YOS0074","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",6,81508,40754,99.5,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0077","Canis latrans","Microtus longicaudus","Microtus longicaudus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,17326,17326,100,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus longicaudus","summer"
"YOS0077","Canis latrans","Scapanus latimanus","Scapanus latimanus","Scapanus","Talpidae","Euliptophyla","Mammalia","Chordata",3,17326,17326,98,"Chordata,Mammalia,Euliptophyla,Talpidae,Scapanus,Scapanus latimanus","summer"
"YOS0078","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,3999,3999,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0078","Canis latrans","Microtus longicaudus","Microtus longicaudus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,3999,3999,100,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus longicaudus","summer"
"YOS0078","Canis latrans","Peromyscus sp.","","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata",3,3999,3999,100,"Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,","summer"
"YOS0079","Canis latrans","Microtus longicaudus","Microtus longicaudus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,4103,4103,100,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus longicaudus","summer"
"YOS0079","Canis latrans","Microtus sp.","","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,4103,4103,97,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,","summer"
"YOS0080","Canis latrans","Aplodontia rufa","Aplodontia rufa","Aplodontia","Aplodontiidae","Rodentia","Mammalia","Chordata",3,1908,1908,98.99,"Chordata,Mammalia,Rodentia,Aplodontiidae,Aplodontia,Aplodontia rufa","summer"
"YOS0081","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",6,39114,19557,99.495,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0082","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,10422,10422,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0083","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",12,150536,37634,98.2375,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0084","Martes caurina","Peromyscus sp.","","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata",3,11314,11314,100,"Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,","summer"
"YOS0085","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,1974,1974,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0085","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",3,1974,1974,100,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0086","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,13497,13497,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0088","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,2655,2655,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0089","Martes caurina","Tamias amoenus","Tamias amoenus","Tamias","Sciuridae","Rodentia","Mammalia","Chordata",3,20411,20411,100,"Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias amoenus","summer"
"YOS0090","Martes caurina","Microtus longicaudus","Microtus longicaudus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,7116,7116,100,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus longicaudus","summer"
"YOS0091","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,22532,22532,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0091","Canis latrans","Microtus longicaudus","Microtus longicaudus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,22532,22532,100,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus longicaudus","summer"
"YOS0092","Martes caurina","Microtus montanus","Microtus montanus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,8621,8621,96.97,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus montanus","summer"
"YOS0092","Martes caurina","Microtus sp.","","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,8621,8621,97,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,","summer"
"YOS0093","Martes caurina","Microtus longicaudus","Microtus longicaudus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,947,947,100,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus longicaudus","summer"
"YOS0095","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",6,57532,28766,99.495,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0096","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",9,223317,74439,98.3266666666667,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0097","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",9,345693,115231,99.6633333333333,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0098","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,41634,41634,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0098","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",3,41634,41634,99,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0099","Martes caurina","Catharus fuscescens","Catharus fuscescens","Catharus","Turdidae","Passeriformes","Aves","Chordata",3,8229,8229,99.02,"Chordata,Aves,Passeriformes,Turdidae,Catharus,Catharus fuscescens","summer"
"YOS0099","Martes caurina","Junco hyemalis","Junco hyemalis","Junco","Passerellidae","Passeriformes","Aves","Chordata",3,8229,8229,100,"Chordata,Aves,Passeriformes,Passerellidae,Junco,Junco hyemalis","summer"
"YOS0099","Martes caurina","Microtus longicaudus","Microtus longicaudus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,8229,8229,100,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus longicaudus","summer"
"YOS0101","Martes caurina","Oncorhynchus sp.","","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata",3,5860,5860,100,"Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,","summer"
"YOS0102","Lynx rufus","Lynx rufus","Lynx rufus","Lynx","Felidae","Carnivora","Mammalia","Chordata",3,7343,7343,100,"Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus","summer"
"YOS0103","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",9,140322,46774,98.99,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0104","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,6464,6464,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0105","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",6,9768,4884,98.5,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0107","Canis latrans","Odocoileus sp.","","Odocoileus","Cervidae","Artiodactyla","Mammalia","Chordata",12,93792,23448,98.745,"Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,","summer"
"YOS0108","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",6,50622,25311,99.495,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0109","Canis latrans","Marmota flaviventris","Marmota flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,7670,7670,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris","summer"
"YOS0109","Canis latrans","Microtus longicaudus","Microtus longicaudus","Microtus","Cricetidae","Rodentia","Mammalia","Chordata",3,7670,7670,100,"Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus longicaudus","summer"
"YOS0110","Martes caurina","Neotoma cinerea","Neotoma cinerea","Neotoma","Cricetidae","Rodentia","Mammalia","Chordata",3,2191,2191,100,"Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma cinerea","summer"
"YOS0111","Martes caurina","Oncorhynchus sp.","","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata",3,308,308,100,"Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,","summer"
"YOS0112","Urocyon cinereoargenteus","Callospermophilus lateralis","Callospermophilus lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata",9,59550,19850,96.2723333333333,"Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,Callospermophilus lateralis","summer"
"YOS0113","Martes caurina","Dendragapus fuliginosus","Dendragapus fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata",3,1169,1169,100,"Chordata,Aves,Galliformes,Phaisianidae,Dendragapus,Dendragapus fuliginosus","summer"
"YOS0114","Lynx rufus","Callospermophilus lateralis","Callospermophilus lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata",6,9338,4669,96.9385,"Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,Callospermophilus lateralis","summer"
"YOS0115","Urocyon cinereoargenteus","Oreortyx pictus","Oreortyx pictus","Oreortyx","Odontophoridae","Galliformes","Aves","Chordata",3,21725,21725,100,"Chordata,Aves,Galliformes,Odontophoridae,Oreortyx,Oreortyx pictus","summer"
